Team,Rating
Georgia,17.6
Ohio St,17.4
Texas,14.9
Notre Dame,14.4
Alabama,13.2
Florida,13.2
Tennessee,12.9
Penn St,12.5
LSU,12.5
Oregon,12.0
Michigan,11.9
S Carolina,11.9
Oklahoma,11.9
Texas A&M,11.7
Mississippi,11.6
USC,11.1
Kentucky,10.1
Indiana,9.4
UCLA,9.3
Louisville,9.1
Vanderbilt,9.0
Clemson,8.9
Arkansas,8.8
Kansas,8.5
Missouri,8.1
Arizona St,7.9
Iowa St,7.7
Washington,7.6
Auburn,7.6
Minnesota,7.5
Wisconsin,7.2
Miami,7.2
S Methodist,7.0
BYU,7.0
GA Tech,7.0
Kansas St,7.0
Iowa,6.8
Baylor,6.8
Miss State,6.7
Nebraska,6.6
Houston,6.5
UCF,6.4
Illinois,6.2
VA Tech,6.1
Colorado,6.0
Cincinnati,5.7
W Virginia,5.4
Utah,5.3
Florida St,5.1
TX Christian,4.6
Rutgers,4.6
Texas Tech,4.5
Maryland,4.5
Oklahoma St,4.1
Boston Col,3.6
Michigan St,3.2
Virginia,3.1
Northwestern,2.9
Syracuse,2.7
Stanford,2.7
Arizona,2.6
Pittsburgh,2.5
Duke,2.2
Tulane,1.6
California,1.0
Boise St,0.6
Wake Forest,0.4
NC State,-0.2
Purdue,-0.2
N Carolina,-0.5
Navy,-0.9
UNLV,-1.1
Old Dominion,-3.1
Memphis,-3.7
Marshall,-4.4
Rice,-4.7
Army,-4.8
Charlotte,-4.9
GA Southern,-5.0
S Florida,-5.1
App State,-5.1
Miami (OH),-5.3
Wash State,-5.4
North Texas,-5.9
S Alabama,-6.1
Texas St,-6.2
Louisiana,-6.3
Ohio,-6.3
Oregon St,-6.4
Georgia St,-6.5
Nevada,-6.8
UTSA,-7.0
Fresno St,-7.1
Wyoming,-7.1
UAB,-7.3
Bowling Grn,-7.3
N Illinois,-7.5
UL Monroe,-7.6
Toledo,-7.7
Coastal Car,-7.7
Troy,-7.8
San Jose St,-7.8
James Mad,-8.1
Connecticut,-8.1
E Carolina,-8.2
Utah St,-8.4
Air Force,-9.0
Temple,-9.2
Arkansas St,-9.2
Colorado St,-9.2
Akron,-9.3
W Michigan,-9.3
Hawaii,-9.7
W Kentucky,-9.9
Sam Hous St,-9.9
Jksnville St,-10.3
Ball St,-10.5
San Diego St,-10.5
Central Mich,-10.6
Buffalo,-10.7
S Mississippi,-10.8
New Mexico,-11.0
U Mass,-11.1
Fla Atlantic,-11.1
E Michigan,-11.9
LA Tech,-13.2
Kennesaw St,-14.0
Tulsa,-14.2
Liberty,-14.7
Florida Intl,-14.8
Middle Tenn,-15.2
N Mex State,-15.3
Kent St,-15.4
TX El Paso,-15.7
